Date,WakeUp,Sleep,Type,Category,TimeSlot,Title,Location,MapLink,Details,ConfNo,Cost,TicketLink,City,Tags
2026-05-22,Home,Sofitel Montreal Golden Mile,Fixed,Hotel,15:00,Check in: Sofitel Montreal Golden Mile,"1155 Sherbrooke Street West, Montreal, QC H3A 2N3, Canada",https://maps.google.com/?q=Sofitel+Montreal+Golden+Mile,"Brown family hotel base at Sofitel Montreal Golden Mile. Shared Accor confirmation QFBPBGSW covers 2 accommodations, 7 nights, 6 adults; Ariadne Brown is listed on Accommodation 1, Signature Room, 2 Doubles Beds, 4 adults. Rooms available from 3:00 PM. Urban Experience Fee includes lobby beverages, local calls, internet, PressReader, Nespresso capsules, and museum/spa privilege access.",QFBPBGSW,,,Montreal,hotel|check-in|sofitel
2026-05-24,Sofitel Montreal Golden Mile,Sofitel Montreal Golden Mile,Fixed,Food,20:00,Dinner: Renoir at Sofitel,"Renoir, Sofitel Montreal Golden Mile",https://maps.google.com/?q=Renoir+Sofitel+Montreal+Golden+Mile,Fixed Sunday dinner at the hotel. Confirm party size and reservation name before travel.,,,,Montreal,dinner|restaurant|fixed|hotel
2026-05-26,Sofitel Montreal Golden Mile,Sofitel Montreal Golden Mile,Fixed,Food,19:30,Dinner: Escondite Union,"Escondite Union, Montreal",https://maps.google.com/?q=Escondite+Union+Montreal,"May 26, 2026 at 7:30 PM. Dining Room. Party of 10.",,,,Montreal,dinner|restaurant|fixed|party-10
2026-05-28,Sofitel Montreal Golden Mile,Sofitel Montreal Golden Mile,Fixed,Food,17:30,Dinner: Restaurant Beba,"Restaurant Beba, Montreal",https://maps.google.com/?q=Restaurant+Beba+Montreal,Fixed Thursday dinner for 6 at 5:30 PM.,,,,Montreal,dinner|restaurant|fixed|party-6
2026-05-29,Sofitel Montreal Golden Mile,Home,Fixed,Hotel,12:00,Check out: Sofitel Montreal Golden Mile,"1155 Sherbrooke Street West, Montreal, QC H3A 2N3, Canada",https://maps.google.com/?q=Sofitel+Montreal+Golden+Mile,Brown family checkout from Sofitel Montreal Golden Mile. Room must be vacated by 12:00 PM at the latest. Accor confirmation QFBPBGSW; non-refundable/prepaid rate.,QFBPBGSW,,,Montreal,hotel|check-out|sofitel
,,,Bank,Activity,,"Bota Bota, spa-sur-l'eau",,"https://www.google.com/maps/search/?api=1&query=Bota+Bota%2C+spa-sur-l%27eau+45.499865,-73.5511057",Category: — Neighborhood: — Description: — Address:,,,,Montreal,
,,,Bank,Food,,Café Nook,,"https://www.google.com/maps/search/?api=1&query=Caf%C3%A9+Nook+45.5214705,-73.5770756",Category: — Neighborhood: — Description: — Address:,,,,Montreal,food
,,,Bank,Activity,,Jardin botanique de Montréal,,"https://www.google.com/maps/search/?api=1&query=Jardin+botanique+de+Montr%C3%A9al+45.5592018,-73.5576932",Flexible activity idea from the Montreal map bank.,,,,Montreal,
,,,Bank,Food,,Jean Talon Market,,"https://www.google.com/maps/search/?api=1&query=Jean+Talon+Market+45.5361095,-73.6148902",Flexible activity idea from the Montreal map bank.,,,,Montreal,food|casual
,,,Bank,Activity,,Lachine Canal National Historic Site,,"https://www.google.com/maps/search/?api=1&query=Lachine+Canal+National+Historic+Site+45.4943138,-73.5522147",Flexible activity idea from the Montreal map bank.,,,,Montreal,
,,,Bank,Activity,,MEM - Centre des mémoires montréalaises,,"https://www.google.com/maps/search/?api=1&query=MEM+-+Centre+des+m%C3%A9moires+montr%C3%A9alaises+45.5092538,-73.5631723",Flexible activity idea from the Montreal map bank.,,,,Montreal,
,,,Bank,Activity,,Montreal Biodome,,"https://www.google.com/maps/search/?api=1&query=Montreal+Biodome+45.5596036,-73.5505972",Flexible activity idea from the Montreal map bank.,,,,Montreal,
,,,Bank,Activity,,Montreal Museum of Archaeology and History,,"https://www.google.com/maps/search/?api=1&query=Montreal+Museum+of+Archaeology+and+History+45.5026511,-73.5541668",Flexible activity idea from the Montreal map bank.,,,,Montreal,
,,,Bank,Activity,,Montreal Museum of Fine Arts,,"https://www.google.com/maps/search/?api=1&query=Montreal+Museum+of+Fine+Arts+45.4985219,-73.5794001",Flexible activity idea from the Montreal map bank.,,,,Montreal,
,,,Bank,Activity,,Montreal Science Centre,,"https://www.google.com/maps/search/?api=1&query=Montreal+Science+Centre+45.5047874,-73.5507431",Flexible activity idea from the Montreal map bank.,,,,Montreal,
,,,Bank,Activity,,Olympic Park Esplanade,,"https://www.google.com/maps/search/?api=1&query=Olympic+Park+Esplanade+45.5558642,-73.5524026",Flexible activity idea from the Montreal map bank.,,,,Montreal,
,,,Bank,Activity,,Parc Jean-Drapeau,,"https://www.google.com/maps/search/?api=1&query=Jean-Drapeau+45.5124643,-73.5331452","Flexible island park option: green space, public art, river views, and family-friendly wandering.",,,,Montreal,
,,,Bank,Activity,,Planetarium,,"https://www.google.com/maps/search/?api=1&query=Planetarium+45.560737,-73.5504345",Flexible activity idea from the Montreal map bank.,,,,Montreal,
