Date,WakeUp,Sleep,Type,Category,TimeSlot,Title,Location,MapLink,Details,ConfNo,Cost,TicketLink,City,Tags
2026-05-22,Home,Sofitel Montreal Golden Mile,Fixed,Hotel,15:00,Check in: Sofitel Montreal Golden Mile,"1155 Sherbrooke Street West, Montreal, QC H3A 2N3, Canada",https://maps.google.com/?q=Sofitel+Montreal+Golden+Mile,"Cordaro/Fraim hotel base at Sofitel Montreal Golden Mile. Shared Accor confirmation QFBPBGSW covers 2 accommodations, 7 nights, 6 adults; Roberto Cordaro is listed on Accommodation 2, Signature 1 King Bed, High Floor City view, 2 adults. Rooms available from 3:00 PM. Urban Experience Fee includes lobby beverages, local calls, internet, PressReader, Nespresso capsules, and museum/spa privilege access.",QFBPBGSW,,,Montreal,hotel|check-in|sofitel
2026-05-22,Sofitel Montreal Golden Mile,Sofitel Montreal Golden Mile,Fixed,Food,21:00,Late arrival snacks / pizza options,Sofitel Montreal Golden Mile,https://maps.google.com/?q=Pizzeria+Elena+1169+Rue+Ottawa+Montreal,"Arrival-night backup plan: keep this casual. Good options to check/order from include Elena for pizza, Pizza Dany for late downtown slices, Alto for late pizza/poutine, and Sofitel room service if everyone is wiped.",,,,Montreal,arrival|pizza|snacks|late-night
2026-05-24,Sofitel Montreal Golden Mile,Sofitel Montreal Golden Mile,Fixed,Food,20:00,Dinner: Renoir at Sofitel,"Renoir, Sofitel Montreal Golden Mile, 1155 Sherbrooke St W",https://maps.google.com/?q=Renoir+Sofitel+Montreal+Golden+Mile,Sunday dinner at the hotel at 8:00 PM. Renoir is inside Sofitel Montreal Golden Mile; confirm party size and reservation name before travel.,,,https://restaurant-renoir.com/,Montreal,dinner|restaurant|fixed|hotel|renoir
2026-05-25,Sofitel Montreal Golden Mile,Sofitel Montreal Golden Mile,Fixed,Food,19:30,Dinner: Gibbys,"Gibbys, 298 Place d'Youville, Montreal",https://maps.google.com/?q=Gibbys+298+Place+d%27Youville+Montreal,"Reservation Monday, May 25, 2026 at 7:30 PM. Old Montreal steakhouse/seafood classic; confirm party size and reservation name before travel.",,,https://www.gibbys.com/,Montreal,dinner|restaurant|fixed|steakhouse|old-montreal
2026-05-26,Sofitel Montreal Golden Mile,Sofitel Montreal Golden Mile,Fixed,Food,19:30,Dinner: Milos Montreal,"Estiatorio Milos, 5357 Av du Parc, Montreal",https://maps.google.com/?q=Estiatorio+Milos+5357+Avenue+du+Parc+Montreal,"Reservation Tuesday, May 26, 2026 at 7:30 PM. Greek seafood dinner at the original Montreal Milos; confirm party size and reservation name before travel.",,,https://www.estiatoriomilos.com/location/montreal/,Montreal,dinner|restaurant|fixed|seafood|greek
2026-05-27,Sofitel Montreal Golden Mile,Sofitel Montreal Golden Mile,Fixed,Food,19:30,Dinner: Escondite Union,"Escondite Union, 1206 Av. Union, Montreal",https://maps.google.com/?q=Escondite+Union+1206+Avenue+Union+Montreal,"Reservation Wednesday, May 27, 2026 at 7:30 PM. Dining Room. Party of 10.",,,https://escondite.ca/,Montreal,dinner|restaurant|fixed|party-10|mexican
2026-05-28,Sofitel Montreal Golden Mile,Sofitel Montreal Golden Mile,Fixed,Food,17:30,Dinner: Restaurant Beba,"Restaurant Beba, 3900 Rue Ethel, Montreal",https://maps.google.com/?q=Restaurant+Beba+3900+Rue+Ethel+Montreal,"Reservation Thursday, May 28, 2026 at 5:30 PM. Dinner for 6.",,,https://restaurantbeba.ca/,Montreal,dinner|restaurant|fixed|party-6|beba
2026-05-29,Sofitel Montreal Golden Mile,Home,Fixed,Hotel,12:00,Check out: Sofitel Montreal Golden Mile,"1155 Sherbrooke Street West, Montreal, QC H3A 2N3, Canada",https://maps.google.com/?q=Sofitel+Montreal+Golden+Mile,Cordaro/Fraim checkout from Sofitel Montreal Golden Mile. Room must be vacated by 12:00 PM at the latest. Accor confirmation QFBPBGSW; non-refundable/prepaid rate.,QFBPBGSW,,,Montreal,hotel|check-out|sofitel
,,,Bank,Food,,Alto Restaurant,"Alto Restaurant, 3469 Av. du Parc, Montreal",https://maps.google.com/?q=Alto+Restaurant+3469+Avenue+du+Parc+Montreal,"Late-night casual backup for pizza, burgers, poutine, and student-style comfort food. Useful if the group needs something open after a late arrival.",,,https://www.themain.com/place/alto-restaurant,Montreal,food|late-night|pizza|poutine|snacks
,,,Bank,Activity,,"Bota Bota, spa-sur-l'eau",,"https://www.google.com/maps/search/?api=1&query=Bota+Bota%2C+spa-sur-l%27eau+45.499865,-73.5511057",Category: — Neighborhood: — Description: — Address:,,,,Montreal,
