Date,WakeUp,Sleep,Type,Category,TimeSlot,Title,Location,MapLink,Details,ConfNo,Cost,TicketLink,City,Tags
5/11/26,,"Rome, Hotel Quirinale",Fixed,Hotel,14:30,Check in: Hotel Quirinale,"Hotel Quirinale, Rome",,"Reservation for McCoy & Oliver (2 adults), 4 nights. Standard room. Rate: EUR 311.00 per room per night (VAT included). City tax not included. Complimentary Wi-Fi. Payment: prepayment one week before arrival. Cancellation up to 2 days before arrival.",759468,EUR 311.00/night,https://www.hotelquirinale.it/data/privacy/HOTEL_QUIRINALE_Informativa_IT_EN.pdf,Rome,hotel|check-in|time-confirmed
5/12/26,,"Rome, Hotel Quirinale",,,,,,,,,,,,
5/13/26,,"Rome, Hotel Quirinale",,,,,,,,,,,,
5/14/26,,"Rome, Hotel Quirinale",,,,,,,,,,,,
5/15/26,,"Florence, Stella D'Italia",Fixed,Hotel,12:00,Check out: Hotel Quirinale,"Hotel Quirinale, Rome",,Departure date 15 May 2026. Hotel note lists check-out as 12:00 a.m.; set to 12:00 pending property confirmation.,759468,,https://www.hotelquirinale.it/data/privacy/HOTEL_QUIRINALE_Informativa_IT_EN.pdf,Rome,hotel|check-out|time-needs-confirmation
5/15/26,,"Florence, Stella D'Italia",Fixed,Hotel,15:00,Check in: Stella d'Italia Florence,"Stella d'Italia, Florence",,"Confirmation #6941 for Mr. Mc Coy. Stay: 15-19 May 2026 (4 nights). 1 Superior double room. Prepaid, non-refundable rate EUR 370.00 per room per night. VAT and breakfast included; Florence tourist tax not included.",6941,EUR 370.00/night,https://stelladitaliaflorence.com/,Florence,hotel|check-in|time-default
5/16/26,,"Florence, Stella D'Italia",Fixed,Activity,14:30,Florence: Pasta Cooking Class with Unlimited Wine,"Cooking Art Brunelleschi, Florence",,"Travel date Sat, May 16, 2026. 2 adults. Mobile ticket accepted. Ticket sent after payment posts. Free cancellation up to 24 hours before start.",BR-1389108231,USD $164.24,https://mail.google.com/mail/u/0/?ik=582baa13f2&view=pt&search=all&permmsgid=msg-f:1863382757116444715&simpl=msg-f:1863382757116444715,Florence,food|activity|class
5/17/26,,"Florence, Stella D'Italia",,,,,,,,,,,,
5/18/26,,"Florence, Stella D'Italia",Fixed,Activity,,Doria Wines Tour,Meet at Stella D'Italia,,,,,,,
5/19/26,,"Venice, Venissa",Fixed,Hotel,10:00,Check out: Stella d'Italia Florence,"Stella d'Italia, Florence",,Departure date 19 May 2026. Time not provided in confirmation; default check-out time used.,6941,,https://stelladitaliaflorence.com/,Florence,hotel|check-out|time-default
5/19/26,,"Venice, Venissa",Fixed,Hotel,15:00,Check in (Offer 307/2026),"Mazzorbo, Venice",,"For Fora Travel. 3 nights, 2 adults. Board: Bed and breakfast. Rate plan: Best flexible rate. Room: 1x COMFORT (15 m2). Default check-in time used; replace if property confirms exact time.",307/2026,,,,Mazzorbo
5/20/26,,"Venice, Venissa",Fixed,Activity,21:30,Chioggia Under the Moon (Private),"Via Don Eugenio Bellemo, 132, Chioggia, Metropolitan City of Venice, Italy",,"Start 20 May at 9:30 PM, end 11:00 PM. Group/total price EUR 160 for 2 people. Meet Damiano in front of Comparato Marina. Nearest parking: Park Unione.",,EUR 160,,Chioggia,activity|evening
5/21/26,,"Venice, Venissa",,,,,,,,,,,,
5/22/26,,Home,Fixed,Hotel,10:00,Check out (Offer 307/2026),"Mazzorbo, Venice",,"Departure date: Friday, May 22, 2026. Default check-out time used; replace if property confirms exact time.",307/2026,,,,Mazzorbo
,,,Bank,Hotel,,Hotel Quirinale,,"https://www.google.com/maps/search/?api=1&query=Hotel+Quirinale+41.9016304,12.4948521","Where you'll rest your head, recharge, start your days from and end your nights at",,,,Rome,evening
,,,Bank,Activity,,Trevi Fountain,,"https://www.google.com/maps/search/?api=1&query=Trevi+Fountain+41.9009325,12.483313","Start here--visit first thing in the morning to avoid crowds. Trevi is one of the most visited sites in Rome, but at sunrise the square is calm and magical.",,,,Rome,morning
